id,name,latitude,longitude
1,ABC Renovations,40.1811,44.5136
2,Smith Home Improvement,40.1775,44.5151
3,Modern Construction Co.,40.1821,44.5142
4,Elite Builders,40.1852,44.5167
5,Pro Builders Inc.,40.1880,44.5185
6,Top Notch Remodeling,40.1834,44.5164
7,Home Solutions LLC,40.1762,44.5111
8,Dynamic Builders,40.1773,44.5143
9,Master Remodelers,40.1846,44.5173
10,Prime Construction Services,40.1799,44.5139
11,All Seasons Remodeling,40.1871,44.5201
12,Exclusive Renovations,40.1767,44.5162
13,Innovative Builders,40.1841,44.5209
14,New Era Construction,40.1865,44.5133
15,Premier Renovations,40.1820,44.5129
16,Complete Home Remodeling,40.1745,44.5138
17,Forever Homes Inc.,40.1805,44.5116
18,Creative Home Solutions,40.1859,44.5196
19,Green City Builders,40.1787,44.5135
20,Blue Ridge Renovations,40.1843,44.5193
